,continent,region,population,government_form,capital
0,North America,Caribbean,103000,Nonmetropolitan Territory of The Netherlands,129.0
1,Asia,Southern and Central Asia,22720000,Islamic Emirate,1.0
2,Africa,Central Africa,12878000,Republic,56.0
3,North America,Caribbean,8000,Dependent Territory of the uK,62.0
4,Europe,Southern Europe,3401200,Republic,34.0
5,Europe,Southern Europe,78000,Parliamentary Coprincipality,55.0
6,North America,Caribbean,217000,Nonmetropolitan Territory of The Netherlands,33.0
7,Asia,Middle East,2441000,Emirate Federation,65.0
8,South America,South America,37032000,Federal Republic,69.0
9,Asia,Middle East,3520000,Republic,126.0
10,Oceania,Polynesia,68000,uS Territory,54.0
11,Antarctica,Antarctica,0,Co-administrated,
12,Antarctica,Antarctica,0,Nonmetropolitan Territory of France,
13,North America,Caribbean,68000,Constitutional Monarchy,63.0
14,Oceania,Australia and New Zealand,18886000,"Constitutional Monarchy, Federation",135.0
15,Europe,Western Europe,8091800,Federal Republic,1523.0
16,Asia,Middle East,7734000,Federal Republic,144.0
17,Africa,Eastern Africa,6695000,Republic,552.0
18,Europe,Western Europe,10239000,"Constitutional Monarchy, Federation",179.0
19,Africa,Western Africa,6097000,Republic,187.0
20,Africa,Western Africa,11937000,Republic,549.0
21,Asia,Southern and Central Asia,129155000,Republic,150.0
22,Europe,Eastern Europe,8190900,Republic,539.0
23,Asia,Middle East,617000,Monarchy (Emirate),149.0
24,North America,Caribbean,307000,Constitutional Monarchy,148.0
25,Europe,Southern Europe,3972000,Federal Republic,201.0
26,Europe,Eastern Europe,10236000,Republic,3520.0
27,North America,Central America,241000,Constitutional Monarchy,185.0
28,North America,North America,65000,Dependent Territory of the uK,191.0
29,South America,South America,8329000,Republic,194.0
30,South America,South America,170115000,Federal Republic,211.0
31,North America,Caribbean,270000,Constitutional Monarchy,174.0
32,Asia,Southeast Asia,328000,Monarchy (Sultanate),538.0
33,Asia,Southern and Central Asia,2124000,Monarchy,192.0
34,Antarctica,Antarctica,0,Dependent Territory of Norway,
35,Africa,Southern Africa,1622000,Republic,204.0
36,Africa,Central Africa,3615000,Republic,1889.0
37,North America,North America,31147000,"Constitutional Monarchy, Federation",1822.0
38,Oceania,Australia and New Zealand,600,Territory of Australia,2317.0
39,Europe,Western Europe,7160400,Federation,3248.0
